Open,High,Low,Close,Volume
145.96,148,145.65,147.81,65447450
148.21,149.13,146.61,148.31,71250420
141.395,148.72,140.55,148.03,111380900
144.29,144.81,140.355,141.17,83763800
145.14,146.64,143.38,144.22,69346520
148.305,148.88,147.12,148.11,35195860
149.45,151.83,149.34,151.07,58301400
148.13,150.42,146.925,150.18,51804130
150.16,150.37,147.715,148.01,58724070
152.305,152.7,149.97,151.29,74829570
146.43,151.48,146.15,150.72,80389400
149.13,149.87,147.29,148.79,64218270
152.215,153.59,148.5613,150.04,89868330
148.97,150.28,147.43,148.28,73374110
145.82,150.01,144.37,149.7,93979670
141.24,146.87,139.5,146.87,118854000
138.5,138.55,134.5933,134.87,74917790
140.41,141.43,137.49,139.5,89908480
137.11,139.145,135.671,138.92,83374630
142.09,142.67,134.38,138.38,140814800
142.06,142.8,138.75,138.88,97918520
148.945,152.17,145,145.03,93604620
155.08,155.45,149.13,150.65,80379350
153.155,154.24,151.92,153.34,97943170
148.2,157.5,147.82,155.74,164762400
148.07,149.046,144.13,144.8,109180200
150.96,151.99,148.04,149.35,88436170
150.09,152.49,149.36,152.34,74732290
147.185,150.23,146,149.45,75981920
142.87,147.8479,142.649,147.27,86548610
143.02,145.89,142.65,143.39,64521990
141.69,144.9492,141.5,143.86,61758340
145.49,146.7,140.61,143.75,99136610
141.065,142.9,140.27,142.41,85250940
144.31,144.52,138.19,138.38,88597970
134.99,143.59,134.37,142.99,113224000
139.13,140.36,138.16,138.34,70433740
139.9,141.35,138.22,138.98,77033670
140.42,141.89,138.5729,140.42,74899000
142.54,143.1,139.445,140.09,85925560
145.81,147.54,145.22,145.43,68402170
144.075,147.38,143.01,146.4,79470970
145.03,146.22,144.26,146.1,87830060
138.21,143.07,137.685,142.45,114311700
141.28,143.1,138,138.2,124925300
146.1,146.72,140.68,142.48,128138200
147.64,150.6414,144.84,149.84,146691400
152.74,154.72,149.945,151.76,84442740
149.66,153.7701,149.64,150.77,93339410
151.19,151.47,148.56,150.43,96029910
152.38,154.47,150.91,152.74,86652540
157.34,158.74,153.6,153.72,101696800
153.4,158.08,153.08,156.9,107689800
149.31,154.56,149.1,154.48,81474250
151.21,151.35,148.37,150.7,162278800
154.65,155.24,151.38,152.37,90481110
154.785,157.1,153.6106,155.31,87965410
159.9,160.54,153.37,153.84,122656600
159.59,164.26,159.3,163.43,104956000
155.47,157.82,154.75,157.37,68081010
154.64,156.36,152.68,154.46,84923850
154.825,156.67,153.61,155.96,87449570
156.47,157.09,153.69,154.53,73714840
159.75,160.362,154.965,155.81,76957770
156.64,158.42,154.67,157.96,74229900
160.305,160.58,157.14,157.22,87991090
162.13,162.56,157.72,158.91,77906200
161.145,162.9,159.82,161.38,73313950
170.57,171.05,163.56,163.62,78960980
168.78,170.14,168.35,170.03,51218210
167.32,168.11,166.245,167.53,53841520
167.08,168.71,166.65,167.23,54147080
169.69,169.86,167.135,167.57,69026810
173.03,173.74,171.3101,171.52,70346300
173.75,174.9,173.12,174.15,62290080
172.77,176.15,172.57,174.55,79542040
172.78,173.71,171.6618,173.03,56377050
171.52,173.39,171.345,173.19,54091690
169.82,172.17,169.4,172.1,68039380
170.06,170.99,168.19,168.49,57149160
167.68,169.34,166.9,169.24,70170540
164.02,165.82,163.25,164.92,63135500
166.37,167.81,164.2,164.87,60362340
163.21,165.85,163,165.35,56696990
166.005,167.19,164.43,165.81,55474140
160.84,166.59,160.75,166.13,82507490
160.1,162.41,159.63,160.01,59907030
161.01,163.59,160.89,161.51,67829380
161.24,163.63,159.5,162.51,101786900
156.98,157.64,154.41,157.35,81378730
152.58,157.33,152.16,156.79,78620690
152.265,153.085,150.8,151.6,55138690
154.01,155.04,152.28,152.95,53623950
155.39,156.28,153.41,154.09,66675410
154.5,155.57,151.94,155.35,65086640
151.12,153.72,150.37,153.04,64823410
147.92,151.23,146.91,151,82982370
150.74,151.57,146.7,147.07,81420870
149.78,150.86,148.2,150.17,76259930
144.08,148.95,143.25,148.47,78140740
142.99,146.45,142.1201,145.49,71185560
145.76,148.45,145.05,145.86,77588760
145.67,146.64,143.78,144.87,63305110
145.265,147.55,145,147.04,64547800
143.29,146.55,143.28,146.35,66253710
141.355,144.12,141.08,142.92,74064250
137.77,141.61,136.93,141.56,73429640
136.04,139.04,135.66,138.93,71051550
137.25,138.37,133.7737,136.72,98964470
137.46,140.67,136.67,139.23,66242410
142.13,143.422,137.325,137.44,67315330
142.695,143.49,140.965,141.66,70207910
139.9,141.91,139.77,141.66,89116840
136.82,138.59,135.63,138.27,72433770
134.79,137.76,133.91,135.35,73409230
133.42,137.06,133.32,135.87,81000490
130.065,133.079,129.81,131.56,134520300
132.08,132.39,129.04,130.06,107961500
134.29,137.34,132.16,135.43,91532970
133.13,133.89,131.48,132.76,84784330
132.87,135.2,131.44,131.88,122207100
140.28,140.76,137.06,137.13,91566640
147.08,147.95,142.53,142.64,69472980
148.58,149.8697,147.46,147.96,53950200
144.345,149,144.1,148.71,67808150
147.03,148.5689,144.9,146.14,71598380
146.9,147.97,144.46,145.38,88570290
147.83,151.27,146.86,151.21,72348060
149.9,151.74,147.68,148.71,74286640
149.07,150.66,146.84,148.84,103718400
145.39,149.68,145.26,149.64,90978500
137.39,144.34,137.14,143.78,90601550
138.43,141.785,138.34,140.52,92482700
140.805,141.97,137.33,140.36,104132700
137.79,143.26,137.65,143.11,117726300
139.09,140.7,132.61,137.59,137426100
139.88,141.66,136.6,137.35,136095600
146.85,147.3601,139.9,140.82,109742900
148.86,149.77,146.68,149.24,78336250
145.55,147.5199,144.18,145.54,86643780
144.59,148.105,143.11,147.11,113990900
142.77,146.2,138.8,142.56,182602000
153.5,155.45,145.81,146.5,142689800
155.52,156.74,152.93,154.51,115366700
154.925,155.83,151.49,152.06,131577900
156.01,159.44,154.18,157.28,116124600
163.85,164.08,154.95,156.77,130525300
159.67,166.48,159.26,166.02,108256500
158.15,160.71,156.32,159.48,88966530
156.71,158.23,153.27,157.96,123055300
161.84,166.2,157.25,157.65,131747600
159.25,164.515,158.93,163.64,130216800
155.91,159.79,155.38,156.57,88063190
162.25,162.34,156.72,156.8,95623240
161.12,163.17,158.46,162.88,96046380
166.46,167.8699,161.5,161.79,84882420
168.91,171.53,165.91,166.42,87227770
168.76,168.88,166.1,167.23,67929810
165.02,167.82,163.91,167.4,67723830
163.92,166.5984,163.57,165.07,69023940
170.62,171.27,165.04,165.29,75329380
167.39,171.04,166.77,170.4,70618930
168.02,169.87,166.64,167.66,79265180
168.71,169.03,165.5,165.75,72246710
171.78,171.78,169.2,170.09,76575510
171.16,173.36,169.85,172.14,77594650
172.36,173.63,170.13,171.83,89058780
177.5,178.3,174.415,175.06,73401790
174.57,178.49,174.44,178.44,76545980
174.03,174.88,171.94,174.31,78751330
177.84,178.03,174.4,174.61,103049300
178.55,179.61,176.7,177.77,92633150
176.69,179.01,176.34,178.96,100589400
172.17,175.73,172,175.6,90371920
173.88,175.28,172.75,174.72,80546160
171.06,174.14,170.21,174.07,90131420
167.99,172.64,167.65,170.21,98062670
165.51,169.42,164.91,168.82,81532010
163.51,166.35,163.015,165.38,95811350
